smiles,bandgap,formulas
c1cc(-c2cc(-c3nc4ccccc4o3)cc(-c3nc4ccccc4o3)c2)cc(C)c1-c1cc2cc3oc(-c4c(C)cc(-c5cc(-c6nc7ccccc7o6)cc(-c6nc7ccccc7o6)c5)cc4C)cc3cc2o1,3.2367,C66H42N4O6
Cc1cc(-c2nc(-c3ccccc3)cc(-c3ccccc3)n(C)cc1-c1cccc(-n2ccc3cnccc32)c1,3.6727,C37H28N4
Cc1cc(C)c(-c2nnc(-c3cc(C)c(N(C)c4ccc4)c(C)c3)n2-c2c(C)cc(C)cc2C)c(C)c1,3.5277,C35H38N4
Cc1cc(-c2cccc(-c3nc4cc5sc(-c6cccc(-c7cc((-c8cnc9ccccc9c8)c(C)c7)c6)nc5cc4s3)c2)cc(C)c1-c1cnc2ccccc2c1,3.448,C54H38N4S2
c1ccc(-n2c3ccncc3c3cc(C4CCC(c5ccc(N6c7ccccc7Oc7cc(-n8c9ccccc9c9ccccc98)ccc76)cc5)CC4)ccc32)cc1,3.4024,C53H40N4O
c1ccc(-n2cnc3cc(-c4ccc(-n5c6cc(-c7ccc(-c8ccccn8)cc7)ccc6c6ccc(-c7ccc(-c8ccccn8)cc7)cc65)cc4)ccc32)cc1,3.4169,C53H35N5
Cc1cc(-c2cc(-c3cc(C)c(-c4cncnc4)cc3C)cc(N3c4ccccc4Oc4cc(-n5c6ccccc6c6ccccc65)ccc43)c2)c(C)cc1-c1cncnc1,2.8593,C54H40N6O
CC1(C)c2cccc(-c3ccc(-c4ccnc5c4ccc4cccnc45)cc3)c2Oc2c(-c3ccc(-c4ccnc5c4ccc4cccnc45)cc3)cccc21,,C51H34N4O
Cc1cc(-c2cc3c(cc2-c2cc(C)c(-c4cc5ccccc5s4)c(C)c2)Oc2cc(-c4cc(C)c(-c5cc6ccccc6s5)c(C)c4)c(-c4cc(C)c(-c5cc6ccccc6s5)c(C)c4)cc2O3)cc(C)c1-c1cc2ccccc2s1,3.5891,C76H56O2S4
Cc1cc(N2c3ccc(N(c4ccccc4)c4ccccc4)cc3C(C)(C)c3cc(N(c4ccccc4)c4ccccc4)ccc32)c(C)cc1-c1ccc(-c2cncnc2)cc1,2.5682,C57H47N5
